race_bango,umaban,bamei,bataiju,tansho_ninkijun,tansho_odds
11,01,スカーレットカラー　　　　　　　　　,474,11,1046
11,02,スワーヴリチャード　　　　　　　　　,526,05,0175
11,03,エタリオウ　　　　　　　　　　　　　,462,10,0850
11,04,スティッフェリオ　　　　　　　　　　,456,13,1334
11,05,フィエールマン　　　　　　　　　　　,482,06,0184
11,06,リスグラシュー　　　　　　　　　　　,468,02,0067
11,07,ワールドプレミア　　　　　　　　　　,492,04,0134
11,08,レイデオロ　　　　　　　　　　　　　,494,09,0358
11,09,アーモンドアイ　　　　　　　　　　　,486,01,0015
11,10,サートゥルナーリア　　　　　　　　　,504,03,0078
11,11,キセキ　　　　　　　　　　　　　　　,506,07,0271
11,12,クロコスミア　　　　　　　　　　　　,444,16,2071
11,13,アルアイン　　　　　　　　　　　　　,526,15,1606
11,14,ヴェロックス　　　　　　　　　　　　,494,08,0337
11,15,アエロリット　　　　　　　　　　　　,514,12,1071
11,16,シュヴァルグラン　　　　　　　　　　,470,14,1354
12,01,アイルチャーム　　　　　　　　　　　,448,04,0064
12,02,ルマーカーブル　　　　　　　　　　　,520,12,0850
12,03,アゴベイ　　　　　　　　　　　　　　,444,02,0043
12,04,シセイタイガ　　　　　　　　　　　　,468,03,0054
12,05,サンノゼテソーロ　　　　　　　　　　,452,01,0033
12,06,イキオイ　　　　　　　　　　　　　　,458,11,0558
12,07,アーヒラ　　　　　　　　　　　　　　,448,14,1222
12,08,イサチルルンルン　　　　　　　　　　,462,09,0367
12,09,スタークニナガ　　　　　　　　　　　,442,15,1441
12,10,オジョーノキセキ　　　　　　　　　　,512,06,0159
12,11,シンデレラメイク　　　　　　　　　　,500,07,0161
12,12,ペイシャドリーム　　　　　　　　　　,458,05,0096
12,13,ショウナンマッシブ　　　　　　　　　,476,10,0419
12,14,ライバーバード　　　　　　　　　　　,508,08,0267
12,15,ツヅク　　　　　　　　　　　　　　　,452,13,0921
12,16,サウンドジャンゴ　　　　　　　　　　,532,16,2657
