_race_id,race_bango,wakuban,umaban,bamei,_gender,barei,_jockey,bataiju,_weight_diff,kakutei_chakujun,_win_bet,_win_fav
2019-12-22_06_11,11,1,01,スカーレットカラー,牝,04,岩田康誠,474,-12,15,104.6,11
2019-12-22_06_11,11,1,02,スワーヴリチャード,牡,05,マーフィ,526,+10,12,17.5,5
2019-12-22_06_11,11,2,03,エタリオウ,牡,04,横山典弘,462,0,10,85.0,10
2019-12-22_06_11,11,2,04,スティッフェリオ,牡,05,丸山元気,456,+8,13,133.4,13
2019-12-22_06_11,11,3,05,フィエールマン,牡,04,池添謙一,482,999,04,18.4,6
2019-12-22_06_11,11,3,06,リスグラシュー,牝,05,レーン,468,999,01,6.7,2
2019-12-22_06_11,11,4,07,ワールドプレミア,牡,03,武豊,492,+8,03,13.4,4
2019-12-22_06_11,11,4,08,レイデオロ,牡,05,三浦皇成,494,+8,07,35.8,9
2019-12-22_06_11,11,5,09,アーモンドアイ,牝,04,ルメール,486,+6,09,1.5,1
2019-12-22_06_11,11,5,10,サートゥルナーリア,牡,03,スミヨン,504,+2,02,7.8,3
2019-12-22_06_11,11,6,11,キセキ,牡,05,ムーア,506,999,05,27.1,7
2019-12-22_06_11,11,6,12,クロコスミア,牝,06,藤岡佑介,444,-4,16,207.1,16
2019-12-22_06_11,11,7,13,アルアイン,牡,05,松山弘平,526,0,11,160.6,15
2019-12-22_06_11,11,7,14,ヴェロックス,牡,03,川田将雅,494,+4,08,33.7,8
2019-12-22_06_11,11,8,15,アエロリット,牝,05,津村明秀,514,-2,14,107.1,12
2019-12-22_06_11,11,8,16,シュヴァルグラン,牡,07,福永祐一,470,+6,06,135.4,14
